ID,BirthYear,DeathYear,Region,Civilization/Tradition,Era,School/Movement,CoreTeachings,HistoricalContext,PrimaryTopics,MetaphysicalStance,EpistemologicalStance,EthicalOrientation,PoliticalOrientation,ReligiousOrientation,KeyWorks,Tags
P019,1466,1536.0,Europe,Latin Christian,Renaissance,Christian Humanism,"Erasmus promoted a Christian humanism that emphasized returning ad fontes—to the sources—through careful study of Scripture and classical texts. He criticized scholastic hair-splitting and clerical abuses, urging moral and educational reform grounded in the simple philosophy of Christ. His edition of the Greek New Testament and his satirical works sought to purify Christianity of superstition and legalism. He valued peace, moderation, and learned piety over dogmatic conflict.","Erasmus was born in the Low Countries, educated in religious schools, and became an Augustinian canon before pursuing an independent scholarly life across Europe. He lived on the eve of and during the early Reformation, corresponding with major figures like Luther while trying to avoid open schism. Working within the print culture of the Renaissance, he used philology and satire to influence both church and educated laity.",Ethics;Philosophy of Religion;Education;Political Thought,Christian Theism; Humanist Platonism,Humanist Philology; Moderate Skepticism about Speculation,Christian Humanist Ethics; Imitation of Christ,Advocates Peace; Critical of War and Intolerance; Reformist,"Christian (Catholic, reform-minded)",The Praise of Folly; Handbook of the Christian Soldier; Greek New Testament (edition),Northern Renaissance;Humanism;Biblical scholarship
P020,1469,1527.0,Europe,Italian,Renaissance,Political Realism;Civic Humanism,"Machiavelli developed a realist approach to politics that separates effective rule from traditional moral ideals. In The Prince, he analyzes how rulers gain and maintain power, arguing that they must be prepared to act immorally when necessary for stability and security. In his republican writings, he praises citizen militias and active civic participation. He treats political life as governed by fortuna (fortune) and virtù (a leader’s skill and boldness), emphasizing contingency and conflict in human affairs.","Machiavelli was born in Florence and served as a diplomat and official in the Florentine Republic during a period of intense Italian city-state rivalry and foreign invasions. After the Medici returned to power, he was dismissed, imprisoned, and eventually retired to the countryside, where he wrote his major works. His experiences of shifting regimes, war, and the fragility of republican institutions deeply informed his analyses of power and statecraft.",Political Philosophy;Ethics;Philosophy of History,Political Realism,Empirical Observation of Political Practice,Instrumental Ethics; Reason-of-State Morality,Republican (in Discourses); Advisory to Princes; Realist about Power,Nominally Christian; Secular Political Outlook,The Prince; Discourses on Livy; The Art of War,Italian city-states;Realpolitik;Republicanism
P021,1596,1650.0,Europe,Modern European,Early Modern,Rationalism,"Descartes sought secure foundations for knowledge by subjecting all beliefs to methodic doubt, arriving at the indubitable certainty of the thinking self (cogito). He defended a substance dualism between res cogitans (thinking substance) and res extensa (extended substance), and grounded physics in clear and distinct ideas and mathematical laws. In epistemology, he emphasized innate ideas and the guarantee of a non-deceptive God to secure the truth of clear and distinct perceptions. His work inaugurated modern philosophy’s focus on the subject, skepticism, and the relationship between mind and world.","Born in La Haye in France, Descartes was educated at Jesuit colleges and served briefly as a soldier before devoting himself to mathematics and philosophy. He spent much of his adult life in the Dutch Republic, benefiting from its relatively tolerant intellectual climate. He died in Sweden after being invited by Queen Christina to instruct her in philosophy, at a time when scientific revolution and religious conflict shaped European thought.",Metaphysics;Epistemology;Philosophy of Mind;Philosophy of Science,Substance Dualism; Theistic Metaphysics,Rationalism; Foundationalism,Theistic Ethics; Duty to Follow Clear and Distinct Reason,Moderate Monarchy; Not Systematically Political,Catholic (with rationalist emphasis),Meditations on First Philosophy; Discourse on Method; Principles of Philosophy; Passions of the Soul,Scientific revolution;Cogito;Cartesian dualism
P022,1632,1677.0,Europe,Modern European,Early Modern,Rationalism;Spinozism,"Spinoza advanced a radical monism in which God and Nature are one substance with infinitely many attributes, of which thought and extension are known to us. He reinterpreted mind and body as parallel modes of the same substance, dissolving traditional dualism and emphasizing the causal necessity of all things. In ethics, he portrayed human bondage to the passions and argued that freedom consists in understanding necessity and living according to the guidance of reason and adequate ideas. His political and religious writings defended freedom of thought and criticized superstition and authoritarian theology.","Spinoza was born into a Portuguese Jewish community in Amsterdam and educated in rabbinic traditions before being excommunicated for his unorthodox views. He lived modestly as a lens grinder in the Dutch Republic, a relatively tolerant but still religiously contested environment. His major works circulated partly in manuscript form due to fear of persecution, and his posthumous publications provoked controversy across Europe.",Metaphysics;Ethics;Political Philosophy;Philosophy of Religion,Monism; Pantheism (or Panentheism); Strict Necessitarianism,Rationalism; Geometrical Method,Eudaimonist Rational Ethics; Intellectual Love of God,Liberal; Supports Freedom of Thought; Democratic Tendencies,Formally Jewish background; Unorthodox Theism,Ethics; Theological-Political Treatise; Political Treatise,Dutch Republic;Excommunication;God or Nature
P023,1646,1716.0,Europe,Modern European,Early Modern,Rationalism;Leibnizianism,"Leibniz proposed that reality consists of simple, non-material substances called monads, each reflecting the universe from its own perspective. He defended a pre-established harmony between mind and body and between all created substances, coordinated by God. He argued that this is the best of all possible worlds, chosen by a perfectly good and wise deity, and developed principles such as sufficient reason and the identity of indiscernibles. His work spans logic, metaphysics, mathematics, and philosophy of religion, anticipating later developments in formal logic and modal metaphysics.","Born in Leipzig, Leibniz was trained in law and philosophy and served various German princes as diplomat, librarian, and court adviser. He worked in an era of emerging nation-states, confessional divisions, and scientific advances, corresponding widely across Europe. Active in early academies of science, he attempted to mediate religious conflicts and promote scientific and political reforms.",Metaphysics;Epistemology;Logic;Philosophy of Religion;Philosophy of Science,Idealism (Monadology); Theistic Metaphysics,Rationalism; Principle of Sufficient Reason,Theistic Ethics; Rational Perfectionism,Reformist Monarchism; Concerned with Enlightened Rule,Lutheran background; Rational Theism,Monadology; Discourse on Metaphysics; New Essays on Human Understanding; Theodicy,Best of all possible worlds;Calculus co-inventor;Pre-established harmony
P024,1588,1679.0,Europe,Modern European,Early Modern,Social Contract Theory;Materialism,"Hobbes developed a mechanistic view of nature, reducing all phenomena, including thought and emotion, to motions of matter. In political philosophy, he argued that in the state of nature humans are in a condition of war of all against all, driven by fear and desire for power, so rational individuals covenant to authorize an absolute sovereign for peace and security. He grounded moral and political obligations in this social contract rather than in divine or natural hierarchies. His work emphasizes the primacy of self-preservation and the need for strong centralized authority to avoid chaos.","Hobbes was born in England on the eve of the Spanish Armada and lived through the English Civil War, which profoundly shaped his fear of disorder and civil conflict. Educated at Oxford and employed as a tutor to aristocratic families, he traveled on the continent and encountered figures of the scientific revolution. His writings were controversial in both religious and political circles, leading him to periods of exile in France and cautious publication strategies.",Metaphysics;Political Philosophy;Ethics;Philosophy of Mind,Materialism; Mechanistic Metaphysics,Empiricism; Scientific Method as Model,Egoistic Contractarianism; Self-preservation Ethics,Authoritarian; Absolutist Sovereignty; Anti-anarchy,Anglican context; Erastian (state over church),Leviathan; De Cive; De Corpore,English Civil War;Social contract;State of nature
P025,1632,1704.0,Europe,Modern European,Early Modern,Empiricism;Social Contract Theory,"Locke argued that the mind at birth is a tabula rasa, with all ideas derived from experience through sensation and reflection. He distinguished primary qualities in objects from secondary qualities that exist only in perception, and developed a theory of personal identity based on continuity of consciousness. In political philosophy, he grounded legitimate government on the consent of the governed, natural rights to life, liberty, and property, and a right of resistance against tyrants. His religious writings defended toleration and a reasonable, minimalist Christianity.","Locke was born in England, educated at Oxford, and associated with figures in the emerging scientific and political elites, including the Earl of Shaftesbury. He lived through the English Civil War’s aftermath, the Restoration, and the Glorious Revolution, aligning with Whig politics. Exiled for a time in the Dutch Republic, he returned after 1688 to publish works that became foundational for liberal constitutionalism and empiricist philosophy.",Epistemology;Metaphysics;Political Philosophy;Philosophy of Mind;Philosophy of Religion,Substance with Unknown Support; Theistic Metaphysics,Empiricism; Representationalism,Natural Rights Ethics; Law of Nature,Liberal; Constitutionalism; Limited Government,Protestant (Anglican); Rational Theism,An Essay Concerning Human Understanding; Two Treatises of Government; A Letter Concerning Toleration; The Reasonableness of Christianity,Liberalism;Glorious Revolution;Tabula rasa
P026,1685,1753.0,Europe,Modern European,Early Modern,Empiricism;Idealism,"Berkeley rejected material substance and argued that to be is to be perceived or to perceive, maintaining that reality consists of ideas in minds and that the continued existence of things depends on their being perceived by God. He criticized abstract ideas and the notion of matter as an unknowable substrate, aiming to dissolve skeptical concerns by tying existence to perception. His immaterialism preserves the common-sense world of experience while eliminating what he saw as incoherent metaphysical posits. He also wrote on language, vision, and the practical implications of his philosophy.","Berkeley was born in Ireland, educated at Trinity College Dublin, and later became an Anglican bishop. He worked in the context of early 18th-century British empiricism and religious debate, engaging critically with Locke and Newtonian science. His career included attempts to found a missionary college in Bermuda and periods of travel in Britain and America, reflecting both philosophical and ecclesiastical ambitions.",Metaphysics;Epistemology;Philosophy of Mind;Philosophy of Religion,Idealism (Immaterialism); Theistic Metaphysics,Empiricism; Anti-abstractionism,Christian Ethics; Theistic Moral Order,Supports Established Church; Mildly Conservative,Protestant (Anglican); Christian Theism,A Treatise Concerning the Principles of Human Knowledge; Three Dialogues between Hylas and Philonous; An Essay Towards a New Theory of Vision,Immaterialism;British empiricism;Perception and reality
P027,1711,1776.0,Europe,Modern European,Early Modern,Empiricism;Skepticism,"Hume pushed empiricism to a skeptical conclusion, arguing that all ideas derive from impressions and that we lack rational justification for many of our most basic beliefs, such as causation, the self, and induction. He explained our belief in necessary connection as a habit of mind formed by repeated conjunctions of events, not as something we perceive in objects. In ethics, he emphasized sentiment and sympathy rather than reason as the basis of moral judgment, and in religion he criticized miracles and traditional natural theology. His work reshaped debates about knowledge, morality, and religion in the Enlightenment and beyond.","Born in Scotland, Hume left university early to pursue independent study and writing amid the Scottish Enlightenment’s vibrant intellectual culture. He struggled for academic positions due to suspicion of his religious views but found success as a historian and essayist. Living in a commercializing, politically stable Britain, he engaged with debates over commerce, politics, and religion while maintaining a reputation as both a philosopher and man of letters.",Epistemology;Metaphysics;Ethics;Philosophy of Religion;Philosophy of Mind,Skeptical Naturalism; Bundle Theory of Self,Empiricism; Mitigated Skepticism,Sentimentalist Ethics; Virtue and Utility,Moderate; Commercial Society; Skeptical of Religious Politics,Formally Presbyterian background; Religious Skeptic,A Treatise of Human Nature; Enquiry Concerning Human Understanding; Enquiry Concerning the Principles of Morals; Dialogues Concerning Natural Religion,Scottish Enlightenment;Problem of induction;Moral sentimentalism
P028,1712,1778.0,Europe,Modern European,Early Modern,Social Contract Theory;Romanticism (proto),"Rousseau argued that humans are naturally good but corrupted by social institutions, especially private property and unequal social arrangements. In the Social Contract, he proposed that legitimate political authority rests on the general will, expressing the common good rather than particular interests. He criticized modern civilization for fostering dependence, vanity, and inauthenticity, and advocated forms of education and social organization that cultivate freedom and moral autonomy. His writings influenced democratic theory, nationalism, romanticism, and critiques of modernity.","Rousseau was born in Geneva, a Protestant city-republic, and spent much of his life in France and other European regions, often in precarious circumstances. He lived during the Enlightenment but was ambivalent toward its emphasis on progress and refinement. His controversial works led to conflicts with authorities and fellow philosophes, and he spent periods in exile or hiding while composing influential treatises on politics, education, and culture.",Political Philosophy;Ethics;Education;Social Theory,Ambiguous; Often Naturalistic; Anti-rationalist Tendencies,Critical of Rationalism; Emphasis on Sentiment and Moral Intuition,Republican Civic Ethics; Autonomy; Authenticity,Republican; Proto-democratic; Critic of Inequality,Protestant background; Deistic tendencies,The Social Contract; Discourse on the Origin of Inequality; Emile; Confessions,General will;Critique of civilization;Romantic precursor
P029,1724,1804.0,Europe,Modern European,Early Modern,Kantianism;Transcendental Idealism,"Kant argued that human knowledge arises from the synthesis of sensory intuitions with a priori forms and categories of the understanding, so we know appearances but not things in themselves. He sought to answer skepticism by showing how synthetic a priori judgments are possible, grounding Newtonian science in the mind’s structuring activity. In ethics, he developed a deontological theory based on the categorical imperative, requiring that we act only on maxims we can will as universal laws and always treat persons as ends in themselves. His critical philosophy set limits to speculative reason while affirming moral freedom, dignity, and the rational hope for God and immortality.","Kant spent his entire life in Königsberg in East Prussia, teaching at the local university during the European Enlightenment. He wrote in the context of Newtonian physics, rationalist metaphysics, and Humean skepticism, aiming to reconcile and critique these traditions. Living amid the rise of modern states and the early stages of the French Revolution, he also wrote essays on history, politics, and the prospects for perpetual peace.",Metaphysics;Epistemology;Ethics;Philosophy of Science;Political Philosophy;Aesthetics;Philosophy of Religion,Transcendental Idealism; Noumenal/Phenomenal Distinction,Critical Philosophy; Synthetic A Priori; Constructivist Epistemology,Deontology; Autonomy; Respect for Persons,Liberal; Republican; Cosmopolitan Tendencies,Protestant (Pietist background); Rational Theism,Critique of Pure Reason; Groundwork of the Metaphysics of Morals; Critique of Practical Reason; Critique of the Power of Judgment; Perpetual Peace,Enlightenment;Synthetic a priori;Categorical imperative
P030,1759,1797.0,Europe,Modern European,Early Modern,Feminism;Liberalism,"Wollstonecraft argued that women are not naturally inferior to men but appear so because of lack of education and unjust social arrangements. She defended women’s rational capacities and called for equal education, civil rights, and opportunities to develop virtue and independence. Criticizing both conservative and some sentimental views of femininity, she treated women as full moral and political agents whose flourishing benefits society as a whole. Her work laid foundational arguments for modern feminist political philosophy within a broadly Enlightenment, liberal framework.","Born in London into a troubled family, Wollstonecraft supported herself as a governess, teacher, and writer in late 18th-century Britain. She wrote amid the debates triggered by the American and French Revolutions, responding critically to Edmund Burke and others. Her unconventional personal life and early death in childbirth (she was the mother of Mary Shelley) shaped her posthumous reputation, but her Vindication gradually became a canonical feminist text.",Ethics;Political Philosophy;Education;Social Theory,Liberal Humanism; Theistic Backdrop,Rationalism (Enlightenment); Appeals to Experience of Oppression,Virtue Ethics with Emphasis on Autonomy; Feminist Ethics of Equality,Liberal; Republican Sympathies; Critic of Patriarchy,Protestant background; Heterodox Christian,A Vindication of the Rights of Woman; A Vindication of the Rights of Men; Thoughts on the Education of Daughters,Early feminism;French Revolution debates;Women’s education
P031,1723,1790.0,Europe,Modern European,Early Modern,Scottish Enlightenment;Classical Liberalism,"Smith developed a moral philosophy in which sympathy and the impartial spectator structure our judgments of propriety and virtue. In political economy, he analyzed the division of labor, markets, and the role of self-interest under conditions of justice, arguing that a system of natural liberty tends to increase wealth and social cooperation. He emphasized both the benefits and the moral risks of commercial society, calling for institutions and virtues that mitigate inequality and corruption. His work connects ethics, economics, and social theory in a unified account of modern society.","Smith was born in Kirkcaldy, Scotland, studied at Glasgow and Oxford, and later taught at the University of Glasgow during the Scottish Enlightenment. He moved in circles of thinkers such as Hume and the political economists of his day. Living in a period of expanding commerce, colonialism, and early industrialization, he wrote both a theory of moral sentiments and a landmark treatise on the wealth of nations that influenced economic policy and liberal thought.",Ethics;Political Philosophy;Economics;Social Theory,Moderate Realism; Naturalistic Social Order,Empiricism; Observational Social Science,Virtue Ethics; Commercial Society Ethics,Liberal; Advocates Limited Government with Specific Public Roles,Protestant (Church of Scotland background); Moderate Theism,The Theory of Moral Sentiments; An Inquiry into the Nature and Causes of the Wealth of Nations,Invisible hand;Division of labor;Scottish Enlightenment
P032,1770,1831.0,Europe,Modern European,19th Century,German Idealism,"Hegel conceived reality and reason as a dynamic, historical process in which Spirit (Geist) comes to know itself through dialectical development. He argued that contradictions are not mere logical errors but drivers of progress, resolved at higher levels of synthesis. History, for Hegel, is the unfolding of freedom through institutions such as family, civil society, and the state. His phenomenology, logic, and philosophy of history deeply shaped later continental thought and political theory.","Hegel was born in Stuttgart and educated in Tübingen, sharing student life with Hölderlin and Schelling. He lived through the French Revolution, Napoleonic Wars, and the reorganization of German states, events that strongly affected his thinking about history and politics. Teaching in Jena, Heidelberg, and Berlin, he became a central figure in German academic philosophy, influencing both conservative and radical followers.",Metaphysics;Epistemology;Political Philosophy;Philosophy of History;Logic,Absolute Idealism; Historical Ontology,Rationalism; Dialectical Method,Ethics of Freedom Realized in Institutions,Liberal-Conservative; Strong State as Embodiment of Freedom,Protestant (Lutheran background); Rational Theism,Phenomenology of Spirit; Science of Logic; Elements of the Philosophy of Right; Lectures on the Philosophy of History,German Idealism;Dialectic;Spirit and history
P033,1788,1860.0,Europe,Modern European,19th Century,Pessimism;Transcendental Idealism (modified),"Schopenhauer reinterpreted the Kantian thing-in-itself as will, a blind, striving force underlying all phenomena. He depicted human life as fundamentally driven by insatiable desire, leading to pervasive suffering and disappointment. Aesthetic contemplation, compassion, and ascetic denial of the will offer partial escape from this condition. Drawing on Indian philosophy, he developed a metaphysics and ethics of pessimism that influenced later existentialist and psychoanalytic thinkers.","Born in Danzig (Gdańsk) and raised in a merchant family, Schopenhauer studied in Göttingen and Berlin, initially under the influence of Kantian and post-Kantian philosophy. His work was overshadowed by Hegel’s dominance in German academia, leading him to a more independent, often antagonistic position. Only later in life did he gain wider recognition, as his writings resonated with 19th-century cultural and artistic circles.",Metaphysics;Ethics;Aesthetics;Philosophy of Religion,Metaphysical Voluntarism; Pessimistic Idealism,Transcendental Idealism; Intuitive Insight; Influenced by Eastern Thought,Compassion-based Ethics; Ascetic Pessimism,Generally Apolitical; Critical of Mass Society,Formally Protestant background; Religious Skeptic with Eastern Influences,The World as Will and Representation; On the Basis of Morality; Parerga and Paralipomena,Pessimism;Influence of Buddhism and Hinduism;Will and representation
P034,1818,1883.0,Europe,Modern European,19th Century,Marxism;Historical Materialism,"Marx developed a materialist conception of history in which economic structures and class struggle drive social and political change. He analyzed capitalism as a system based on exploitation of wage labor, commodity fetishism, and alienation, predicting its eventual overthrow by the proletariat. He envisioned a classless, communist society in which the means of production are collectively controlled and human beings can develop their capacities freely. His thought combines critique of political economy with a theory of ideology and revolutionary praxis.","Marx was born in Trier in the German Rhineland, studied in Bonn and Berlin, and became involved in radical journalism and politics in the context of 19th-century industrialization. Exiled from several countries for his activities, he spent much of his later life in London, working in difficult conditions while researching in the British Museum. His experiences of political repression, revolutions, and early industrial capitalism shaped his analyses of class and the state.",Political Philosophy;Social Theory;Economics;Philosophy of History,Historical Materialism; Critique of Idealism,Empirically Informed Critique; Dialectical Method,Critique of Bourgeois Morality; Emancipatory Ethics,Communist; Revolutionary; Anti-capitalist,Jewish background; Secular; Atheist,The Communist Manifesto; Capital; Theses on Feuerbach; The German Ideology,Industrial revolution;Class struggle;Communism
P035,1806,1873.0,Europe,Modern European,19th Century,Utilitarianism;Liberalism,"Mill refined utilitarianism by emphasizing qualitative differences in pleasures and defending individual liberty as instrumental to happiness and human development. In On Liberty, he argued for extensive freedom of thought, expression, and lifestyle, constrained mainly by the harm principle. He supported women’s equality, representative government, and experiments in living as ways to advance both individual and social progress. His work integrates a consequentialist ethics with a robust defense of liberal rights and democratic institutions.","Mill was born in London, the son of James Mill, and was educated rigorously from a young age within a Benthamite circle. He worked for the East India Company and later served as a Member of Parliament, engaging directly in British political life. Living amid industrialization and empire, he confronted issues of colonialism, democratic reform, and women’s rights in the mid-19th century.",Ethics;Political Philosophy;Social Theory,Naturalistic Realism; Utilitarian Framework,Empiricism; Refined Utilitarian Reasoning,Utilitarianism; Perfectionist Elements (Higher Pleasures),Liberal; Democratic; Reformist,Secular with Unitarian Background; Religious Liberalism,Utilitarianism; On Liberty; Considerations on Representative Government; The Subjection of Women,Harm principle;Higher and lower pleasures;Victorian liberalism
P036,1813,1855.0,Europe,Modern European,19th Century,Existentialism (forerunner);Christian Philosophy,"Kierkegaard emphasized individual existence, subjectivity, and the leap of faith over abstract system-building. He criticized both Hegelian philosophy and established Christendom for neglecting authentic, passionate commitment to God. Through pseudonymous works, he explored stages of life—the aesthetic, ethical, and religious—and described anxiety, despair, and paradox as central to human existence. His thought laid the groundwork for existentialism and influenced later theology and philosophy of religion.","Born in Copenhagen to a devout Lutheran family, Kierkegaard lived in a small but intellectually active Danish society. He wrote amid the dominance of Hegelianism in academic philosophy and a complacent state church in Denmark. Personally marked by family tragedies, a broken engagement, and persistent illness, he conducted a one-man campaign against what he saw as the superficiality of his age.",Ethics;Philosophy of Religion;Existentialism;Aesthetics,Christian Existentialism; Anti-systematic,Subjective Knowledge; Faith beyond Reason,Existential Ethics; Individual Responsibility,Critical of Established Church; Not Systematically Political,Lutheran Christian (deeply critical of Christendom),Either/Or; Fear and Trembling; The Sickness Unto Death; Concluding Unscientific Postscript,Existentialism precursor;Leap of faith;Danish Golden Age
P037,1844,1900.0,Europe,Modern European,19th Century,Genealogical Critique;Existentialism (influence),"Nietzsche launched a radical critique of traditional morality, religion, and metaphysics, interpreting them as expressions of life-denying ressentiment and will to power. He proposed the revaluation of all values, the ideal of the Übermensch, and the affirmation of eternal recurrence as tests of life-affirmation. Rejecting absolute truths, he employed genealogy to uncover the historical and psychological origins of moral concepts. His style and ideas profoundly influenced existentialism, post-structuralism, and cultural criticism.","Nietzsche was born in Röcken, Prussia, trained as a classical philologist, and became a professor at Basel at a young age before resigning due to health problems. He lived a largely solitary, itinerant life in Switzerland, Italy, and Germany, writing during the late 19th century as European nationalism, secularization, and mass culture expanded. After a mental collapse in 1889, his works were edited and sometimes distorted by others, including his sister, contributing to later misappropriations.",Ethics;Metaphysics;Philosophy of Religion;Aesthetics;Social Critique,Anti-metaphysical; Perspectivism; Will to Power,Genealogical Method; Critique of Truth; Psychological Insight,Beyond Good and Evil; Ethics of Self-Creation,Critical of Democracy and Herd Morality; Complex views on Aristocracy and Power,Lutheran background; Atheist; Anti-Christian,Thus Spoke Zarathustra; Beyond Good and Evil; On the Genealogy of Morals; The Gay Science,Death of God;Will to power;Übermensch
P038,1839,1914.0,North America,American,19th Century,Pragmatism,"Peirce founded pragmatism as a theory of meaning, holding that the meaning of a concept lies in its practical effects and conceivable consequences. He developed a sophisticated logic and semiotics, viewing inquiry as a communal, fallibilist process converging toward truth. His metaphysics included categories of firstness, secondness, and thirdness, and he defended a form of objective idealism with evolutionary and probabilistic elements. His work laid foundations for American pragmatism and influenced logic, philosophy of science, and epistemology.","Peirce was born in Cambridge, Massachusetts, the son of a prominent mathematician, and was educated at Harvard. He worked intermittently for the U.S. Coast Survey and as a lecturer but never secured a stable academic career, partly due to personal and institutional difficulties. Writing in the context of post–Civil War America and emerging scientific professionalization, he published much of his work in scattered articles rather than systematic treatises.",Logic;Epistemology;Philosophy of Science;Semiotics;Metaphysics,Objective Idealism; Fallibilism; Scholastic Realism,Pragmatism; Fallibilist Scientific Method,No Systematic Normative Ethics; Emphasis on Intellectual Virtues,"Liberal, but Not Systematically Political",Raised in a Protestant milieu; Heterodox Christian leanings,Collected Papers (posthumous); How to Make Our Ideas Clear; The Fixation of Belief,American pragmatism;Semiotics;Fallibilism
P039,1842,1910.0,North America,American,19th Century,Pragmatism,"James developed a pragmatic theory of truth, evaluating beliefs by their practical consequences and their role in guiding successful action. He emphasized the fluid, pluralistic character of experience and defended the legitimacy of religious and moral faith where evidence underdetermines options. In psychology and philosophy of mind, he described consciousness as a ‘stream’ and rejected rigid introspective atomism. His work popularized pragmatism and integrated philosophy with psychology, religious studies, and everyday concerns.","Born in New York City to an intellectually active family, James studied medicine and taught at Harvard, becoming a central figure in American academic life. He lived during the late 19th and early 20th centuries, when psychology was emerging as a distinct discipline and religious belief was under scrutiny from science. His lectures and writings reached both scholarly and general audiences, shaping American thought on belief, will, and experience.",Epistemology;Philosophy of Religion;Philosophy of Mind;Psychology;Ethics,Radical Empiricism; Pluralism,Pragmatism; Will to Believe,Pluralistic Ethics; Emphasis on Lived Consequences,Liberal; Individualist; Democratic Sympathies,Raised in a Protestant environment; Religious but anti-dogmatic,The Will to Believe; Pragmatism; The Varieties of Religious Experience; Principles of Psychology,Radical empiricism;Stream of consciousness;American pragmatism
P040,1820,1895.0,Europe,Modern European,19th Century,Marxism,"Engels collaborated with Marx to develop historical materialism and a critique of capitalism, co-authoring foundational texts of Marxist theory. He wrote on the conditions of the working class, the role of family and gender in class society, and the dialectics of nature. After Marx’s death, Engels edited and published volumes II and III of Capital, helping shape the canonical form of Marxism. His work integrates empirical observation of industrial society with a revolutionary socialist framework.","Engels was born in Barmen, Prussia, to a wealthy textile-manufacturing family and worked in his father’s factories in Germany and England. His experiences in Manchester exposed him to harsh working-class conditions, which he documented in sociological detail. Active in revolutionary and socialist movements across Europe, he served as Marx’s close collaborator and financial supporter, living much of his later life in London.",Political Philosophy;Social Theory;Economics;Philosophy of History,Historical Materialism,Empirically Grounded Dialectics,Socialist Ethics; Class Emancipation,Communist; Revolutionary Socialist,Protestant background; Secular; Atheist,"The Condition of the Working Class in England; The Communist Manifesto (with Marx); Anti-Dühring; The Origin of the Family, Private Property and the State",Industrial working class;Engels as collaborator;Dialectics of nature
P041,1872,1970.0,Europe,Modern European,20th Century,Analytic Philosophy,"Russell helped found analytic philosophy by applying formal logic to philosophical problems and rejecting idealism. He developed the theory of descriptions, contributed to the foundations of mathematics with Principia Mathematica, and defended a logical atomist view of reality as composed of simple, knowable facts. He advocated a broadly empiricist epistemology and was critical of metaphysical excess. Beyond technical work, he wrote extensively on ethics, politics, and religion from a secular, often liberal and pacifist standpoint.","Russell was born into an aristocratic British family and educated at Cambridge, participating in the Apostles and later teaching there. He lived through two world wars, publicly opposing World War I and nuclear weapons, which led to political activism and occasional imprisonment. His long life spanned Victorian Britain to the 1960s, and he became a prominent public intellectual as well as a technical philosopher.",Logic;Epistemology;Metaphysics;Philosophy of Language;Ethics;Political Philosophy,Logical Atomism; Pluralistic Realism,Logical Analysis; Empiricism,Consequentialist-Leaning Secular Ethics,Liberal; Democratic Socialist Sympathies; Pacifist Activism,Raised Anglican; Later Agnostic/Atheist,Principia Mathematica (with Whitehead); On Denoting; Our Knowledge of the External World; A History of Western Philosophy,Analytic philosophy founder;Logical atomism;Peace activism
P042,1873,1958.0,Europe,Modern European,20th Century,Analytic Philosophy,"Moore is known for defending common sense against philosophical skepticism and for his work in ethics and analysis. In Principia Ethica, he argued that ‘good’ is a simple, non-natural property known by intuition and criticized the naturalistic fallacy of defining good in terms of natural properties. He promoted a meticulous style of conceptual analysis that helped define early analytic philosophy. His open-question argument and common-sense propositions influenced debates in ethics and epistemology.","Born in London, Moore studied and taught at Cambridge, where he was part of a circle that included Russell and later Wittgenstein. He lived through two world wars, largely focused on academic life and philosophical writing. As editor of Mind and a central figure at Cambridge, he shaped the ethos and methods of early 20th-century analytic philosophy.",Ethics;Epistemology;Metaphysics;Philosophy of Language,Non-natural Moral Realism; Common-Sense Realism,Intuitionism; Conceptual Analysis,Intuitionist Ethics; Non-naturalism about Good,Liberal; Not Systematically Political,Raised Protestant; Later Non-religious,Principia Ethica; A Defense of Common Sense; Proof of an External World,Common sense philosophy;Open-question argument;Cambridge analysis
P043,1889,1951.0,Europe,Modern European,20th Century,Analytic Philosophy (Early and Later),"Wittgenstein’s early work in the Tractatus sought to show the limits of language by analyzing propositions as logical pictures of facts, concluding that what cannot be said clearly must be passed over in silence. His later philosophy, especially in the Philosophical Investigations, rejected this picture theory in favor of understanding meaning as use within language-games and forms of life. He critiqued the idea of a private language and encouraged attending to ordinary linguistic practices to dissolve philosophical confusions. His shifting views profoundly shaped philosophy of language, mind, and methodology in the 20th century.","Born in Vienna to a wealthy industrial family, Wittgenstein studied engineering before turning to logic and philosophy under Russell at Cambridge. He served in World War I, later lived in relative isolation in Austria, and returned to Cambridge as a professor. His life involved periods of intense teaching, ascetic living, and personal turmoil, set against the backdrop of two world wars and the collapse of the Austro-Hungarian Empire.",Philosophy of Language;Logic;Metaphysics;Philosophy of Mind;Epistemology,Logical Atomism (early); Anti-essentialism and Pragmatic Orientation (later),Logical Analysis (early); Ordinary Language and Use (later),No Systematic Normative Ethics; Emphasis on Clarity and Honesty,Generally Apolitical; Personally Anti-authoritarian,Raised Catholic; Deeply Religious Temperament but Heterodox,Tractatus Logico-Philosophicus; Philosophical Investigations; On Certainty; Blue and Brown Books,Language-games;Picture theory;Private language argument
